File,Classification,Score,Smells
config_initialization.py,clean,0.25,switch_stmt
deprecation_actions.py,clean,0.0,
exceptions.py,clean,0.0,
find_default_config_files.py,clean,0.0,
help_formatter.py,clean,0.0,
utils.py,clean,0.25,switch_stmt
_breaking_changes.py,clean,0.15,dead_code
__init__.py,clean,0.0,
generate_command.py,clean,0.0,
help_message.py,clean,0.0,
main.py,clean,0.0,
setup.py,clean,0.0,
utils.py,clean,0.0,
__init__.py,clean,0.0,
async_checker.py,potential,0.4,"switch_stmt, dead_code"
bad_chained_comparison.py,clean,0.15,dead_code
