File,Class,Classification,Score,Smells,Speculative Methods
unsupported_version.py,UnsupportedVersionChecker,sak,1.0,"large_class, cohesion, interfaces","visit_joinedstr, visit_namedexpr, visit_arguments, visit_decorators, visit_trystar, visit_excepthandler, visit_raise, visit_typealias, visit_typevar, visit_typevartuple"
utils.py,NoSuchArgumentError,potential,0.5,"cohesion, interfaces",
utils.py,InferredTypeError,potential,0.5,"cohesion, interfaces",
utils.py,IncompleteFormatString,potential,0.5,"cohesion, interfaces",
utils.py,UnsupportedFormatCharacter,potential,0.7,"cohesion, interfaces",__init__
variables.py,VariableVisitConsumerAction,potential,0.5,"cohesion, interfaces",
variables.py,NamesConsumer,potential,0.5,cohesion,__init__
variables.py,VariablesChecker,potential,0.7,"cohesion, interfaces","__init__, visit_for, leave_for, leave_module, visit_lambda, leave_lambda, visit_generatorexp, leave_generatorexp, visit_dictcomp, leave_dictcomp, visit_setcomp, leave_setcomp, visit_global, visit_assignname, visit_delname, visit_name, visit_excepthandler, leave_excepthandler, visit_import, visit_importfrom, visit_assign, visit_listcomp, leave_listcomp, leave_assign, leave_with, visit_arguments, visit_subscript, visit_const"
implicit_booleaness_checker.py,ImplicitBooleanessChecker,potential,0.7,"cohesion, interfaces","visit_call, visit_unaryop, visit_compare"
not_checker.py,NotChecker,potential,0.7,"cohesion, interfaces",visit_unaryop
recommendation_checker.py,RecommendationChecker,potential,0.7,"cohesion, interfaces","visit_call, visit_for, visit_comprehension, visit_const"
refactoring_checker.py,ConsiderUsingWithStack,potential,0.5,"cohesion, interfaces",
refactoring_checker.py,RefactoringChecker,sak,1.0,"large_class, cohesion, interfaces","__init__, _init, leave_module, visit_try, visit_for, visit_excepthandler, visit_with, visit_if, visit_ifexp, visit_raise, visit_call, visit_yield, visit_boolop, visit_assign, visit_augassign, visit_comprehension"
class_checker.py,_CallSignature,potential,0.5,"cohesion, interfaces",
class_checker.py,_ParameterSignature,potential,0.5,"cohesion, interfaces",
class_checker.py,ScopeAccessMap,potential,0.5,cohesion,__init__
class_checker.py,ClassChecker,sak,1.0,"large_class, cohesion, interfaces","__init__, visit_assignattr, visit_assign"
special_methods_checker.py,SpecialMethodsChecker,potential,0.7,"cohesion, interfaces",__init__
basic_checker.py,_BasicChecker,potential,0.5,"cohesion, interfaces",
basic_checker.py,BasicChecker,potential,0.7,"cohesion, interfaces","__init__, visit_if, visit_ifexp, visit_comprehension, visit_expr, visit_lambda, visit_continue, visit_break, visit_raise, visit_call, visit_assert, visit_dict, visit_set, visit_try, leave_try, visit_with, visit_assign, visit_for"
basic_error_checker.py,BasicErrorChecker,sak,1.0,"large_class, cohesion, interfaces","visit_assign, visit_starred, visit_yield, visit_yieldfrom, visit_continue, visit_break, visit_for, visit_unaryop, visit_nonlocal, visit_call"
comparison_checker.py,ComparisonChecker,potential,0.7,"cohesion, interfaces",visit_compare
docstring_checker.py,DocStringChecker,potential,0.5,"cohesion, interfaces",
function_checker.py,FunctionChecker,potential,0.7,"cohesion, interfaces",visit_asyncfunctiondef
pass_checker.py,PassChecker,potential,0.7,"cohesion, interfaces",visit_pass
checker.py,TypeVarVariance,potential,0.5,"cohesion, interfaces",
checker.py,NameChecker,potential,0.7,"cohesion, interfaces","__init__, leave_module, visit_assignname"
naming_style.py,SnakeCaseStyle,potential,0.5,"cohesion, interfaces",
naming_style.py,CamelCaseStyle,potential,0.5,"cohesion, interfaces",
naming_style.py,PascalCaseStyle,potential,0.5,"cohesion, interfaces",
naming_style.py,UpperCaseStyle,potential,0.5,"cohesion, interfaces",
naming_style.py,AnyStyle,potential,0.5,"cohesion, interfaces",
