File,Class,Classification,Score,Smells,Speculative Methods
Action.py,ActionBase,sak,1.0,"large_class, cohesion, interfaces","__call__, genstring, get_implicit_deps, get_contents, presub_lines"
Action.py,FunctionAction,potential,0.7,"cohesion, interfaces","__init__, strfunction, __str__, execute, get_implicit_deps"
Action.py,ActionFactory,potential,0.5,cohesion,"__init__, __call__"
Action.py,f,potential,0.5,cohesion,"read, readline"
ActionTests.py,GlobalActFunc,potential,0.5,cohesion,__call__
ActionTests.py,CmdStringHolder,potential,0.5,cohesion,"__init__, escape"
ActionTests.py,Environment,potential,0.5,cohesion,"__init__, subst, subst_list, __getitem__, __setitem__, get, items, Dictionary, Clone, sig_dict"
ActionTests.py,DummyNode,potential,0.5,cohesion,"__init__, __str__"
ActionTests.py,ActionTestCase,potential,0.7,"cohesion, interfaces","test_FunctionAction, test_CommandAction, test_ListAction, test_CommandGeneratorAction, test_LazyCmdGeneratorAction, test_no_action, test_reentrance"
ActionTests.py,_ActionActionTestCase,potential,0.7,"cohesion, interfaces","test__init__, test_dup_keywords, test___cmp__, test_print_cmd_lines, test___call__, test_presub_lines, test_add"
ActionTests.py,CommandActionTestCase,sak,1.0,"large_class, cohesion, interfaces","test___init__, test___str__, test_genstring, test_strfunction, test_execute, test_set_handler, test_get_contents, test_get_implicit_deps"
ActionTests.py,CommandGeneratorActionTestCase,potential,0.7,"cohesion, interfaces","factory, test___init__, test___str__, test_genstring, test_execute, test_get_contents, test_get_contents_of_function_action"
ActionTests.py,FunctionActionTestCase,potential,0.7,"cohesion, interfaces","test___init__, test___str__, test_execute, test_get_contents, test_strfunction"
ActionTests.py,ListActionTestCase,potential,0.7,"cohesion, interfaces","test___init__, test___str__, test_genstring, test_execute, test_get_contents"
ActionTests.py,LazyActionTestCase,potential,0.7,"cohesion, interfaces","test___init__, test_genstring, test_execute, test_get_contents, test_get_contents_of_function_action"
ActionTests.py,ActionCallerTestCase,potential,0.7,"cohesion, interfaces","test___init__, test_get_contents, test___call__, test_strfunction"
ActionTests.py,ActionFactoryTestCase,potential,0.7,"cohesion, interfaces","test___init__, test___call__"
ActionTests.py,ActionCompareTestCase,potential,0.7,"cohesion, interfaces","test_1_solo_name, test_2_multi_name, test_3_dict_names"
ActionTests.py,TestClass,potential,0.5,cohesion,"__init__, method"
ActionTests.py,ObjectContentsTestCase,potential,0.7,"cohesion, interfaces","test_function_contents, test_object_contents, test_code_contents, test_uncaught_exception_bubbles, test_scons_subproc_run"
ActionTests.py,actclass1,potential,0.5,cohesion,"__init__, __call__"
ActionTests.py,actclass2,potential,0.5,cohesion,"__init__, __call__"
ActionTests.py,actclass3,potential,0.5,cohesion,"__init__, __call__, strfunction"
ActionTests.py,actclass4,potential,0.5,cohesion,"__init__, __call__"
ActionTests.py,Obj,potential,0.5,cohesion,"__init__, __str__"
ActionTests.py,Test,potential,0.5,cohesion,__init__
ActionTests.py,LiteralStr,potential,0.5,cohesion,"__init__, __str__, escape"
ActionTests.py,SpecialEnvironment,potential,0.7,"cohesion, interfaces",subst_target_source
ActionTests.py,SpecialEnvironment,potential,0.7,"cohesion, interfaces",WhereIs
ActionTests.py,DummyFile,potential,0.5,cohesion,__init__
ActionTests.py,class1,potential,0.5,cohesion,__call__
ActionTests.py,class1a,potential,0.5,cohesion,__init__
ActionTests.py,class1b,potential,0.5,cohesion,__call__
ActionTests.py,Foo,potential,0.5,cohesion,get_contents
ActionTests.py,class2a,potential,0.5,cohesion,__call__
ActionTests.py,class2b,potential,0.5,cohesion,__init__
ActionTests.py,LocalActFunc,potential,0.5,cohesion,__call__
ActionTests.py,fs,potential,0.5,cohesion,File
Builder.py,DictCmdGenerator,potential,0.7,"cohesion, interfaces","__init__, __call__"
Builder.py,CallableSelector,potential,0.7,"cohesion, interfaces",__call__
Builder.py,DictEmitter,potential,0.7,"cohesion, interfaces",__call__
Builder.py,ListEmitter,potential,0.7,"cohesion, interfaces",__call__
Builder.py,OverrideWarner,potential,0.7,"cohesion, interfaces","__init__, warn"
Builder.py,EmitterProxy,potential,0.5,cohesion,"__init__, __call__"
Builder.py,BuilderBase,sak,0.8,"large_class, cohesion","__init__, __bool__, get_name, splitext, _adjustixes, _execute, __call__, adjust_suffix, set_suffix, add_src_builder"
Builder.py,CompositeBuilder,potential,0.7,"cohesion, interfaces",__init__
BuilderTests.py,Environment,sak,0.8,"large_class, cohesion","__init__, subst, subst_target_source, subst_list, arg2nodes, get_factory, get_scanner, Dictionary, autogenerate, __setitem__, __getitem__, keys, get, Override, _update, items, sig_dict"
BuilderTests.py,MyNode_without_target_from_source,sak,0.8,"large_class, cohesion","__init__, __str__, add_source, scanner_key, generate_build_env, get_build_env"
BuilderTests.py,MyNode,potential,0.5,"cohesion, interfaces",
BuilderTests.py,BuilderTestCase,sak,1.0,"large_class, cohesion, interfaces","test__init__, test__bool__, test__call__, test_mistaken_variables, test_action, test_generator, test_cmp, test_target_factory, test_source_factory, test_splitext, test_adjust_suffix, test_prefix, test_set_suffix, test_src_suffix, test_srcsuffix_nonext, test_src_suffix_expansion, test_suffix, test__adjustixes, test_single_source, test_lists, test_src_builder, test_target_scanner, test_actual_scanner, test_src_scanner, test_Builder_API, test_Builder_Args, test_emitter, test_emitter_preserve_builder, test_emitter_suffix_map, test_emitter_function_list, test_emitter_TARGET_SOURCE, test_no_target, test_get_name"
BuilderTests.py,MyBuilder,potential,0.7,"cohesion, interfaces",splitext
BuilderTests.py,MyBuilder,potential,0.7,"cohesion, interfaces",adjust_suffix
BuilderTests.py,TestScanner,potential,0.5,cohesion,"key, select, __str__"
CacheDir.py,CacheDir,sak,0.8,"large_class, cohesion","__init__, get_cachedir_csig, cachepath, retrieve, push, push_if_forced"
CacheDirTests.py,Action,potential,0.5,cohesion,"__call__, genstring, get_contents"
CacheDirTests.py,Builder,potential,0.5,cohesion,__init__
CacheDirTests.py,Environment,potential,0.5,cohesion,"__init__, Override"
CacheDirTests.py,BaseTestCase,potential,0.7,"cohesion, interfaces",File
CacheDirTests.py,CacheDirTestCase,potential,0.7,"cohesion, interfaces",test_cachepath
CacheDirTests.py,CacheDirExistsTestCase,potential,0.7,"cohesion, interfaces",test_existing_cachedir
CacheDirTests.py,ExceptionTestCase,potential,0.7,"cohesion, interfaces","test_throws_correct_on_OSError, test_throws_correct_when_failed_to_write_configfile, test_raise_environment_error_on_invalid_json"
CacheDirTests.py,FileTestCase,sak,1.0,"large_class, cohesion, interfaces","push, test_CacheRetrieve, test_CacheRetrieveSilent, test_CachePush, test_warning, test_no_strfunction"
CacheDirTests.py,Unserializable,potential,0.5,cohesion,"__init__, __getitem__, __setitem__"
cpp.py,PreProcessor,potential,0.5,large_class,"__init__, __call__, do_ifdef, do_ifndef, do_if, do_else, do_endif, do_define, do_undef, do_import, do_include"
cpp.py,DumbPreProcessor,potential,0.7,"cohesion, interfaces",__init__
cppTests.py,cppTestCase,potential,0.7,"large_class, interfaces","test_basic, test_substitution, test_ifdef, test_if_boolean, test_if_defined, test_expression, test_undef, test_macro_function, test_token_pasting, test_no_space, test_nested_ifs, test_ifndef, test_if_defined_no_space, test_if_no_space"
cppTests.py,PreProcessorTestCase,potential,0.5,"cohesion, interfaces",
cppTests.py,DumbPreProcessorTestCase,potential,0.5,"cohesion, interfaces",
cppTests.py,fileTestCase,potential,0.7,"cohesion, interfaces","write, test_basic, test_current_file"
dblite.py,_Dblite,potential,0.5,cohesion,"__init__, __getitem__, __setitem__, __delitem__, keys, items, values"
DefaultsTests.py,DefaultsTestCase,potential,0.7,"cohesion, interfaces","test_mkdir_func0, test_mkdir_func1, test_mkdir_func2, test__defines_no_target_or_source_arg, test_processDefines"
Environment.py,BuilderWrapper,potential,0.7,"cohesion, interfaces","__call__, __str__"
Environment.py,BuilderDict,potential,0.7,"cohesion, interfaces","__init__, __setitem__, __delitem__, update"
Environment.py,SubstitutionEnvironment,sak,0.8,"large_class, cohesion","__init__, __delitem__, __getitem__, __setitem__, get, keys, values, items, setdefault, arg2nodes, gvars, lvars, subst, subst_kw, subst_list, subst_path, backtick, AddMethod, Override, ParseFlags, MergeFlags"
Environment.py,Base,sak,1.0,"large_class, cohesion, interfaces","__init__, get_factory, get_scanner, _update, _update_onlynew, Append, AppendENVPath, AppendUnique, Clone, _changed_build, Detect, Dictionary, Dump, FindIxes, ParseConfig, ParseDepends, Platform, Prepend, PrependENVPath, PrependUnique, Replace, ReplaceIxes, SetDefault, Tool, WhereIs, Action, AddPreAction, AddPostAction, Alias, AlwaysBuild, Builder, CacheDir, Clean, Configure, Command, Depends, Dir, NoClean, NoCache, Entry, Environment, Execute, File, FindFile, Flatten, GetBuildPath, Ignore, Literal, Local, Precious, Pseudo, Repository, Requires, Scanner, SConsignFile, SideEffect, Split, Value, VariantDir, FindSourceFiles, FindInstalledFiles"
Environment.py,OverrideEnvironment,sak,1.0,"large_class, cohesion, interfaces","__init__, __getitem__, __setitem__, __delitem__, get, Dictionary, items, keys, values, setdefault, _update, _update_onlynew, gvars, lvars, Replace"
Environment.py,_NoSubstitutionProxy,potential,0.7,"cohesion, interfaces","__init__, subst, subst_kw, subst_list, subst_target_source"
Environment.py,DumpEncoder,potential,0.7,"cohesion, interfaces",default
EnvironmentTests.py,Builder,potential,0.7,"cohesion, interfaces","__init__, __call__, execute"
EnvironmentTests.py,Scanner,potential,0.5,cohesion,"__init__, __call__, __str__"
EnvironmentTests.py,DummyNode,potential,0.5,cohesion,"__init__, __str__"
EnvironmentTests.py,SubstitutionTestCase,sak,1.0,"large_class, cohesion, interfaces","test___init__, test___cmp__, test___delitem__, test___getitem__, test___setitem__, test_get, test_contains, test_keys, test_values, test_items, test_setdefault, test_arg2nodes, test_arg2nodes_target_source, test_gvars, test_lvars, test_subst, test_subst_kw, test_subst_list, test_subst_path, test_subst_target_source, test_backtick, test_AddMethod, test_Override, test_ParseFlags, test_MergeFlags"
EnvironmentTests.py,BaseTestCase,sak,1.0,"large_class, cohesion, interfaces","test___init__, test_variables, test_get, test_Builder_calls, test_BuilderWrapper_attributes, test_Builder_execs, test_Scanners, test_ENV, test_ReservedVariables, test_FutureReservedVariables, test_IllegalVariables, test_autogenerate, test_platform, test_Default_PLATFORM, test_tools, test_Default_TOOLS, test_null_tools, test_default_copy_cache, test__concat, test__concat_nested, test__stripixes, test_gvars, test__update, test_Append, test_AppendENVPath, test_AppendUnique, test_Clone, test_Detect, test_Dictionary, test_FindIxes, test_ParseConfig, test_ParseDepends, test_Platform, test_Prepend, test_PrependENVPath, test_PrependUnique, test_Replace, test_ReplaceIxes, test_SetDefault, test_Tool, test_WhereIs, test_Action, test_AddPostAction, test_AddPreAction, test_Alias, test_AlwaysBuild, test_VariantDir, test_Builder, test_CacheDir, test_Clean, test_Command, test_Configure, test_Depends, test_Dir, test_NoClean, test_Dump, test_Environment, test_Execute, test_Entry, test_File, test_FindFile, test_Flatten, test_GetBuildPath, test_Ignore, test_Literal, test_Local, test_Precious, test_Pseudo, test_Repository, test_Scanner, test_SConsignFile, test_SideEffect, test_Split, test_Value, test_Environment_global_variable, test_bad_keywords, test_parse_flags, test_clone_parse_flags"
EnvironmentTests.py,OverrideEnvironmentTestCase,sak,1.0,"large_class, cohesion, interfaces","test___init__, test___setitem__, test___delitem__, test_get, test_contains, test_Dictionary, test_items, test_keys, test_values, test_setdefault, test_gvars, test_lvars, test_Replace, test_Override_Leakage, test_Override_Mutable_Leakage, test_FindIxes, test_ReplaceIxes, test_PseudoBuilderInherits, test_Dir, test_Entry, test_File, test_Split, test_parse_flags"
EnvironmentTests.py,NoSubstitutionProxyTestCase,potential,0.7,"cohesion, interfaces","test___init__, test_attributes, test_subst, test_subst_kw, test_subst_list, test_subst_target_source"
EnvironmentTests.py,X,potential,0.5,"cohesion, interfaces",
EnvironmentTests.py,SConsNode,potential,0.5,"cohesion, interfaces",
EnvironmentTests.py,MyProxy,potential,0.5,cohesion,"__init__, get"
EnvironmentTests.py,MyNode,potential,0.5,cohesion,"__init__, __str__"
EnvironmentTests.py,MyObj,potential,0.5,cohesion,get
EnvironmentTests.py,StringableObj,potential,0.5,cohesion,"__init__, __str__"
EnvironmentTests.py,FakeOptions,potential,0.5,cohesion,"__init__, keys, Update"
EnvironmentTests.py,platform,potential,0.5,cohesion,"__str__, __call__"
EnvironmentTests.py,platform,potential,0.5,cohesion,"__str__, __call__"
EnvironmentTests.py,C,potential,0.5,cohesion,"__init__, __str__"
EnvironmentTests.py,my_backtick,potential,0.5,cohesion,"__init__, __call__"
EnvironmentTests.py,MyFS,potential,0.5,cohesion,"Dir, VariantDir"
