File,Class,Is Blob Controller,Is Data Class,Smells
JavaCommon.py,OuterState,True,False,"large_class, low_cohesion, comment_heavy"
javacTests.py,pathoptTestCase,True,False,"large_class, low_cohesion"
msvs.py,_GenerateV6DSP,True,False,"large_class, low_cohesion"
msvs.py,_GenerateV7DSP,True,False,"large_class, low_cohesion"
msvs.py,_GenerateV10DSP,True,False,"large_class, low_cohesion"
msvs.py,_GenerateV7DSW,True,False,"large_class, low_cohesion"
msvsTests.py,msvsTestCase,True,False,"large_class, low_cohesion"
mwcc.py,MWVersion,True,False,"large_class, low_cohesion, comment_heavy"
__init__.py,Tool,True,False,"large_class, low_cohesion"
NinjaState.py,NinjaState,True,False,"large_class, low_cohesion, long_method"
NinjaState.py,SConsToNinjaTranslator,True,False,"large_class, low_cohesion, long_method"
UtilsTests.py,TestGenerateCommand,True,False,"large_class, low_cohesion"
vcTests.py,MSVcTestCase,True,False,"large_class, low_cohesion"
vcTests.py,MsvcQueryVersionToolsetTests,True,False,"large_class, low_cohesion"
vs.py,VisualStudio,True,False,"large_class, low_cohesion, comment_heavy"
PolicyTests.py,PolicyTests,True,False,"large_class, low_cohesion"
ScriptArgumentsTests.py,ScriptArgumentsTests,True,False,"large_class, low_cohesion"
UtilTests.py,UtilTests,True,False,"large_class, low_cohesion"
