File,Class,Classification,Score,Smells,Speculative Methods
base.py,ExtensionArray,sak,0.8,"large_class, cohesion","_from_scalars, dtype, interpolate, unique, factorize, transpose, T, _hash_pandas_object, _mode"
base.py,ExtensionArraySupportsAnyAll,potential,0.7,"cohesion, interfaces","all, all, all"
base.py,ExtensionOpsMixin,potential,0.5,cohesion,"_add_arithmetic_ops, _add_comparison_ops, _add_logical_ops"
base.py,ExtensionScalarOpsMixin,potential,0.5,"cohesion, interfaces",
boolean.py,BooleanDtype,potential,0.7,"cohesion, interfaces","type, _is_boolean"
boolean.py,BooleanArray,potential,0.7,"cohesion, interfaces","dtype, _logical_method"
categorical.py,Categorical,sak,1.0,"large_class, cohesion, interfaces","dtype, _from_scalars, _from_inferred_categories, categories, ordered, as_ordered, as_unordered, reorder_categories, add_categories, remove_categories, remove_unused_categories, _hash_pandas_object, _reverse_indexer, min, _mode, unique, describe"
datetimelike.py,DatetimeLikeArrayMixin,sak,1.0,"large_class, cohesion, interfaces","resolution, _is_monotonic_increasing, _is_monotonic_decreasing, _is_unique, min, median, _mode"
datetimelike.py,DatelikeOps,potential,0.7,"cohesion, interfaces",strftime
datetimelike.py,TimelikeOps,sak,1.0,"large_class, cohesion, interfaces","_validate_dtype, freq, freq, unit, as_unit, _round, round, floor, ceil, all, factorize, interpolate"
datetimes.py,DatetimeArray,sak,1.0,"large_class, cohesion, interfaces","_from_scalars, _validate_dtype, dtype, tz, tz, is_normalized, tz_convert, tz_localize, to_pydatetime, normalize, month_name, day_name, time, timetz, date, isocalendar, to_julian_date"
floating.py,FloatingDtype,potential,0.5,"cohesion, interfaces",
floating.py,FloatingArray,potential,0.5,"cohesion, interfaces",
floating.py,Float32Dtype,potential,0.5,"cohesion, interfaces",
floating.py,Float64Dtype,potential,0.5,"cohesion, interfaces",
integer.py,IntegerDtype,potential,0.5,"cohesion, interfaces",
integer.py,IntegerArray,potential,0.5,"cohesion, interfaces",
integer.py,Int8Dtype,potential,0.5,"cohesion, interfaces",
integer.py,Int16Dtype,potential,0.5,"cohesion, interfaces",
integer.py,Int32Dtype,potential,0.5,"cohesion, interfaces",
integer.py,Int64Dtype,potential,0.5,"cohesion, interfaces",
integer.py,UInt8Dtype,potential,0.5,"cohesion, interfaces",
integer.py,UInt16Dtype,potential,0.5,"cohesion, interfaces",
integer.py,UInt32Dtype,potential,0.5,"cohesion, interfaces",
integer.py,UInt64Dtype,potential,0.5,"cohesion, interfaces",
