,File,Classification,Score,Smells
155,strings.py,potential,0.4,"switch_stmt, dead_code"
156,symilar.py,clean,0.25,switch_stmt
157,threading_checker.py,clean,0.15,dead_code
158,typecheck.py,potential,0.4,"switch_stmt, dead_code"
159,unicode.py,clean,0.0,
160,unsupported_version.py,clean,0.15,dead_code
162,variables.py,potential,0.4,"switch_stmt, dead_code"
164,implicit_booleaness_checker.py,potential,0.4,"switch_stmt, dead_code"
165,not_checker.py,potential,0.4,"switch_stmt, dead_code"
166,recommendation_checker.py,potential,0.4,"switch_stmt, dead_code"
167,refactoring_checker.py,potential,0.4,"switch_stmt, dead_code"
169,class_checker.py,potential,0.4,"switch_stmt, dead_code"
170,special_methods_checker.py,potential,0.4,"switch_stmt, dead_code"
172,basic_checker.py,potential,0.4,"switch_stmt, dead_code"
173,basic_error_checker.py,potential,0.4,"switch_stmt, dead_code"
174,comparison_checker.py,clean,0.15,dead_code
175,docstring_checker.py,potential,0.4,"switch_stmt, dead_code"
176,function_checker.py,potential,0.4,"switch_stmt, dead_code"
177,pass_checker.py,clean,0.15,dead_code
179,checker.py,potential,0.4,"switch_stmt, dead_code"
180,naming_style.py,clean,0.0,
